department,Budget,Year,GDP
DHS,,1976,1790000000000.0
DOC,819000000.0,1976,1790000000000.0
DOD,35696000000.0,1976,1790000000000.0
DOE,10882000000.0,1976,1790000000000.0
DOT,1142000000.0,1976,1790000000000.0
EPA,968000000.0,1976,1790000000000.0
HHS,9226000000.0,1976,1790000000000.0
Interior,1152000000.0,1976,1790000000000.0
NASA,12513000000.0,1976,1790000000000.0
NIH,8025000000.0,1976,1790000000000.0
NSF,2372000000.0,1976,1790000000000.0
Other,1191000000.0,1976,1790000000000.0
USDA,1837000000.0,1976,1790000000000.0
VA,404000000.0,1976,1790000000000.0
DHS,,1977,2028000000000.0
DOC,837000000.0,1977,2028000000000.0
DOD,37967000000.0,1977,2028000000000.0
DOE,13741000000.0,1977,2028000000000.0
DOT,1095000000.0,1977,2028000000000.0
EPA,966000000.0,1977,2028000000000.0
HHS,9507000000.0,1977,2028000000000.0
Interior,1082000000.0,1977,2028000000000.0
NASA,12553000000.0,1977,2028000000000.0
NIH,8214000000.0,1977,2028000000000.0
NSF,2395000000.0,1977,2028000000000.0
Other,1280000000.0,1977,2028000000000.0
USDA,1796000000.0,1977,2028000000000.0
VA,374000000.0,1977,2028000000000.0
DHS,,1978,2278000000000.0
DOC,871000000.0,1978,2278000000000.0
DOD,37022000000.0,1978,2278000000000.0
DOE,15663000000.0,1978,2278000000000.0
DOT,1156000000.0,1978,2278000000000.0
EPA,1175000000.0,1978,2278000000000.0
HHS,10533000000.0,1978,2278000000000.0
Interior,1125000000.0,1978,2278000000000.0
NASA,12516000000.0,1978,2278000000000.0
NIH,8802000000.0,1978,2278000000000.0
NSF,2446000000.0,1978,2278000000000.0
Other,1237000000.0,1978,2278000000000.0
USDA,1962000000.0,1978,2278000000000.0
VA,356000000.0,1978,2278000000000.0
DHS,,1979,2570000000000.0
DOC,952000000.0,1979,2570000000000.0
DOD,37174000000.0,1979,2570000000000.0
DOE,15612000000.0,1979,2570000000000.0
DOT,1004000000.0,1979,2570000000000.0
EPA,1102000000.0,1979,2570000000000.0
HHS,10127000000.0,1979,2570000000000.0
Interior,1176000000.0,1979,2570000000000.0
NASA,13079000000.0,1979,2570000000000.0
NIH,9243000000.0,1979,2570000000000.0
NSF,2404000000.0,1979,2570000000000.0
Other,2321000000.0,1979,2570000000000.0
USDA,2054000000.0,1979,2570000000000.0
VA,353000000.0,1979,2570000000000.0
DHS,,1980,2797000000000.0
DOC,945000000.0,1980,2797000000000.0
DOD,37005000000.0,1980,2797000000000.0
DOE,15226000000.0,1980,2797000000000.0
DOT,1048000000.0,1980,2797000000000.0
EPA,903000000.0,1980,2797000000000.0
HHS,10045000000.0,1980,2797000000000.0
Interior,1082000000.0,1980,2797000000000.0
NASA,13837000000.0,1980,2797000000000.0
NIH,9093000000.0,1980,2797000000000.0
NSF,2407000000.0,1980,2797000000000.0
Other,2468000000.0,1980,2797000000000.0
USDA,1887000000.0,1980,2797000000000.0
VA,359000000.0,1980,2797000000000.0
DHS,,1981,3138000000000.0
DOC,829000000.0,1981,3138000000000.0
