,...1,caseid,pid3,educ,faminc_new,gender4,birthyr,race,contact,donation,child18,hadjob,urbancity
1,1,1983126005,1,6,149000,1,1992,1,1,3500,2,NA,2
2,2,1983126559,3,3,79000,1,1957,1,1,0,2,NA,3
3,3,1983126197,1,5,59000,2,1978,1,2,0,2,NA,1
4,4,1979974411,4,6,149000,3,1991,1,1,0,1,NA,3
5,5,1983130427,3,6,99000,1,1991,1,2,0,2,NA,1
6,6,1981687607,3,5,69000,1,1955,7,2,0,2,1,4
7,7,1983125989,1,2,9000,2,1968,2,2,0,2,2,2
8,8,1983125855,1,6,149000,1,1947,1,1,0,2,2,2
9,9,1981900613,1,5,29000,2,1947,1,1,0,2,2,3
10,10,1983055465,1,6,39000,1,1950,1,2,100,2,1,1
11,11,1983126153,1,5,19000,2,1949,2,1,0,1,2,1
12,12,1983126535,1,6,199000,2,1969,1,1,100,2,NA,1
13,13,1982425223,3,5,149000,2,1961,2,1,0,2,NA,2
14,14,1979259565,3,4,149000,2,1965,6,1,0,2,2,4
15,15,1983127719,1,6,119000,1,1974,1,1,50,1,NA,3
16,16,1983126249,2,6,199000,2,1988,3,1,0,1,NA,2
17,17,1983126173,2,4,99000,2,1978,1,1,150,2,NA,4
18,18,1983191583,1,3,199000,1,1998,1,1,0,2,2,2
19,19,1983190653,1,3,69000,2,1981,2,1,0,2,1,1
20,20,1983191535,3,3,39000,2,1961,3,2,0,2,NA,2
21,21,1983126033,3,6,149000,1,1985,1,1,0,1,NA,1
22,22,1983172347,3,2,49000,1,1957,1,2,0,2,2,4
23,23,1983191517,3,5,99000,1,1968,1,1,0,2,NA,2
24,24,1983125763,2,6,NA,2,1986,1,2,0,2,NA,1
25,25,1983125963,3,5,NA,1,1948,1,2,50,2,2,2
26,26,1983127275,1,5,99000,1,1977,1,1,50,2,NA,2
27,27,1983126053,1,6,9000,2,1981,2,2,0,2,1,2
28,28,1982905083,5,3,19000,2,1964,2,1,0,2,1,3
29,29,1983144143,3,6,99000,1,1973,1,1,0,2,NA,2
30,30,1983191601,3,5,59000,1,1968,1,1,100,2,NA,1
31,31,1977592677,2,3,119000,1,1957,1,1,250,2,NA,4
32,32,1983202355,1,5,79000,1,1985,1,2,0,1,NA,1
33,33,1983202389,1,5,119000,2,1988,1,1,20,2,NA,1
34,34,1982013403,1,4,59000,1,1939,1,2,0,2,2,2
35,35,1982290075,1,1,600000,1,1956,1,2,0,1,NA,1
36,36,1983202213,1,2,39000,2,1989,1,2,666,1,NA,1
37,37,1983191577,2,1,19000,2,1982,1,2,0,1,2,3
38,38,1983191299,3,3,69000,2,1983,1,2,0,2,NA,4
39,39,1983202573,2,2,69000,2,1990,1,2,0,2,NA,4
40,40,1982625101,2,4,59000,2,1970,1,2,0,1,NA,4
41,41,1983201145,1,5,119000,2,1959,1,1,200,2,1,4
42,42,1983202143,3,2,19000,2,1972,1,2,0,2,NA,2
43,43,1983202485,2,2,69000,2,1978,1,2,0,2,NA,1
44,44,1983207589,1,5,69000,1,1969,1,1,0,2,NA,3
45,45,1983191425,3,5,349000,1,1967,5,1,1500,1,NA,2
46,46,1982537071,2,2,39000,2,1959,1,1,0,2,2,4
47,47,1983202373,4,4,19000,2,1989,3,1,0,2,NA,1
48,48,1983203861,2,4,69000,2,1968,1,1,0,1,2,3
49,49,1982041143,3,5,199000,2,1972,3,2,0,2,1,3
50,50,1975135443,4,3,59000,1,1943,6,1,300,2,NA,4
51,51,1981978265,4,3,99000,1,1953,1,1,0,2,2,4
52,52,1982054215,2,3,39000,1,1961,1,1,0,2,2,4
53,53,1983202181,2,4,119000,1,1950,1,1,200,2,2,3
54,54,1983175125,3,5,49000,2,1978,1,1,0,1,NA,3
55,55,1982419141,3,3,29000,1,1943,1,2,0,2,1,2
56,56,1982743889,1,2,39000,2,1986,1,1,0,2,1,4
57,57,1983172175,3,4,9000,2,1989,1,2,0,2,NA,2
58,58,1981891923,1,5,NA,2,1998,1,2,0,2,1,2
59,59,1981559915,3,6,NA,2,1970,1,1,50,2,NA,4
60,60,1983191785,1,5,59000,2,1990,2,2,0,2,NA,2
61,61,1983191637,2,3,69000,2,1968,1,2,0,2,NA,1
62,62,1982186237,1,2,59000,2,1957,2,2,0,1,2,2
63,63,1983191731,3,4,79000,2,1998,1,2,0,2,NA,2
64,64,1983202705,5,4,29000,2,1989,3,2,0,2,NA,1
65,65,1983126217,2,5,NA,1,1949,1,1,0,2,NA,3
66,66,1983125827,1,3,99000,2,1987,1,2,0,1,NA,2
67,67,1983055489,4,3,29000,2,1997,5,2,0,2,1,4
68,68,1983202845,1,2,9000,2,1951,2,1,0,2,2,4
69,69,1983202597,1,5,119000,2,1968,1,1,0,1,NA,4
70,70,1982571499,3,2,29000,2,1933,1,1,0,2,2,3
71,71,1983207399,2,2,49000,2,1964,1,2,0,2,NA,4
72,72,1983209221,1,2,NA,3,1988,6,2,0,2,2,2
73,73,1982700085,1,6,99000,2,1963,1,1,275,1,NA,3
74,74,1983242877,1,6,99000,2,1982,4,2,0,1,NA,2
75,75,1983209009,2,3,59000,2,1952,1,1,0,2,2,3
76,76,1982535395,1,3,NA,2,1947,2,1,0,2,NA,1
77,77,1983243217,2,4,119000,2,1987,1,2,0,2,NA,3
78,78,1983242819,3,3,119000,2,1989,1,1,0,1,NA,4
79,79,1983212331,2,3,49000,1,1974,1,2,0,2,NA,4
80,80,1983126195,3,4,49000,2,1976,1,1,135,2,NA,3
81,81,1980797967,4,4,49000,1,1960,1,2,0,2,2,3
82,82,1983242201,2,6,149000,2,1965,1,1,0,2,NA,2
83,83,1983191367,3,5,29000,1,1997,3,2,0,2,NA,2
84,84,1982255893,1,2,49000,2,1950,1,2,0,2,2,3
85,85,1983242967,3,4,19000,1,1976,1,2,0,2,2,3
86,86,1981560053,2,4,NA,1,1961,1,1,0,2,2,4
87,87,1983008003,2,2,149000,1,1958,1,1,200,2,1,4
88,88,1983201695,2,4,69000,1,1967,1,1,0,1,NA,3
89,89,1983207639,1,4,19000,2,1951,3,1,0,2,1,2
90,90,1980109087,3,4,29000,1,1949,1,1,0,2,2,2
91,91,1983207461,2,4,69000,1,1967,7,1,0,1,NA,2
92,92,1983202833,3,3,29000,2,1955,6,1,0,2,1,3
93,93,1983198331,4,5,149000,2,1968,1,1,50,2,1,2
94,94,1983094239,3,3,19000,1,1967,1,1,0,2,1,2
95,95,1982423819,3,5,69000,2,1987,1,2,0,1,NA,2
